# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Body","anchor_id":"FILE1_Z1_XY1","type":2,"desc":"","options":{"0":"Talking","1":"Listing","2":"shaking hands"},"default_option_id":"1"}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_ZKw5qDQv","[""video1.mp4""]",0,"[0]","[2,103.794,9.833,420.637,705.797]","{""1"":""default,1""}"
"1_xDeVpfCJ","[""video1.mp4""]",0,"[0]","[2,628.225,40.425,481.821,673.02]","{""1"":""default,1""}"
"1_slcqmceX","[""video1.mp4""]",0,"[0.02]","[2,104.88664,26.222,404.248,669.742]","{""1"":""Default,1""}"
"1_2JS0zXrq","[""video1.mp4""]",0,"[0.02]","[2,626.039,37.147,497.117,678.483]","{""1"":""Default,1""}"
"1_ccI5HX54","[""video1.mp4""]",0,"[0.04]","[2,126.73748,15.296,396.60052,682.85271]","{""1"":""Default,1""}"
"1_OjDkOXmu","[""video1.mp4""]",0,"[0.04]","[2,603.096,89.59,526.616,592.17]","{""1"":""Default,1""}"
"1_kPNVDr5D","[""video1.mp4""]",0,"[0.74]","[2,127.83,13.111,456.692,694.871]","{""1"":""Default,1,2""}"
"1_EZTMu6UP","[""video1.mp4""]",0,"[0.74]","[2,598.72524,71.017,508.043,628.224]","{""1"":""Default,1,2""}"
"1_tRpXe2SN","[""video1.mp4""]",0,"[8.6378]","[2,116.904,17.481,464.34,675.205]","{""1"":""Default,0,2""}"
"1_qdWF4Nu5","[""video1.mp4""]",0,"[8.6378]","[2,608.558,73.202,587.8,605.281]","{""1"":""Default,1,2""}"
